time_ms,event,duration(ms),copyKind,data_B,streamId
14945,102,0,-1,0,70
14948,96,2,-1,0,70
14954,82,0,-1,0,70
14957,102,0,-1,0,70
14962,88,0,-1,0,70
14959,55,0,-1,0,156
14964,47,4,-1,0,147
14963,41,6,-1,0,94
14980,34,0,-1,0,74
14981,31,0,-1,0,74
14986,31,0,-1,0,94
14988,55,2,-1,0,82
14991,34,0,-1,0,94
14995,14,0,-1,0,94
15002,36,0,-1,0,94
15003,73,0,-1,0,94
15003,81,0,-1,0,94
15004,83,0,-1,0,94
14995,31,1,-1,0,86
14998,18,0,-1,0,70
15006,57,6,-1,0,86
15026,36,0,-1,0,86
15016,35,1,-1,0,78
15030,14,0,-1,0,78
15022,34,0,-1,0,90
15023,62,6,-1,0,90
15040,36,0,-1,0,90
15029,51,5,-1,0,70
15033,31,1,-1,0,82
15052,34,1,-1,0,82
15037,31,0,-1,0,98
15045,31,0,-1,0,98
15061,34,0,-1,0,98
15046,31,0,-1,0,94
15050,41,6,-1,0,90
15062,100,7,-1,0,94
15069,29,0,-1,0,90
15078,34,0,-1,0,70
15073,18,0,-1,0,98
15074,54,0,-1,0,78
15079,36,0,-1,0,90
15083,32,0,-1,0,90
15090,67,0,-1,0,90
15090,74,0,-1,0,90
15091,83,0,-1,0,90
15092,79,0,-1,0,90
15096,82,2,-1,0,90
15080,20,0,-1,0,98
15084,96,2,-1,0,94
15090,34,0,-1,0,94
15094,14,0,-1,0,94
15100,14,0,-1,0,94
15086,21,13,-1,0,82
15090,51,1,-1,0,98
15092,62,3,-1,0,86
15099,35,0,-1,0,78
15099,62,2,-1,0,98
15104,36,0,-1,0,98
15111,67,0,-1,0,98
15112,70,0,-1,0,98
15112,80,0,-1,0,98
15114,83,0,-1,0,98
15120,89,0,-1,0,98
15109,60,0,-1,0,82
15113,31,0,-1,0,74
15129,34,0,-1,0,74
15116,63,0,-1,0,90
15123,94,5,-1,0,120
15129,29,0,-1,0,90
15133,32,0,-1,0,90
15139,93,26,-1,0,94
15145,48,8,-1,0,70
15149,92,0,-1,0,90
15159,64,0,-1,0,74
15157,63,0,-1,0,90
15162,97,10,-1,0,98
15164,32,0,-1,0,74
15169,34,0,-1,0,74
15172,14,0,-1,0,74
15179,36,0,-1,0,74
15180,73,0,-1,0,74
15181,81,0,-1,0,74
15168,96,2,-1,0,90
15186,82,0,-1,0,74
15171,102,0,-1,0,90
15174,96,2,-1,0,90
15180,82,0,-1,0,90
15185,103,0,-1,0,90
15172,98,0,-1,0,98
15180,63,0,-1,0,129
15192,103,0,-1,0,70
15190,54,0,-1,0,78
15193,102,0,-1,0,70
15203,32,0,-1,0,70
15219,82,0,-1,0,70
15197,83,0,-1,0,98
15203,103,0,-1,0,98
15206,34,0,-1,0,98
15210,82,0,-1,0,98
15201,29,0,-1,0,78
15209,58,2,-1,0,74
15215,31,0,-1,0,86
15219,59,0,-1,0,165
15223,92,0,-1,0,90
15233,32,0,-1,0,86
15226,96,2,-1,0,74
15235,31,0,-1,0,78
15230,61,16,-1,0,82
15247,63,0,-1,0,138
15250,98,0,-1,0,74
15254,51,3,-1,0,70
15255,31,0,-1,0,82
15271,34,0,-1,0,82
15258,101,0,-1,0,74
15263,14,0,-1,0,74
15267,102,0,-1,0,74
15270,32,0,-1,0,74
15276,14,0,-1,0,74
15262,29,0,-1,0,70
15269,54,0,-1,0,78
15275,34,0,-1,0,70
15276,32,0,-1,0,70
15277,62,2,-1,0,78
15280,32,0,-1,0,86
15287,35,0,-1,0,86
15291,67,0,-1,0,86
15292,5,0,-1,0,86
15292,81,0,-1,0,86
15297,6,0,-1,0,86
15282,14,0,-1,0,78
15285,32,0,-1,0,78
15292,67,0,-1,0,78
15293,72,0,-1,0,78
15293,78,0,-1,0,78
15294,79,0,-1,0,78
15298,82,2,-1,0,78
15301,90,0,-1,0,86
15289,32,0,-1,0,90
15296,61,16,-1,0,98
15297,100,13,-1,0,70
15309,62,2,-1,0,82
15314,34,0,-1,0,82
15312,93,6,-1,0,78
15327,34,0,-1,0,82
15335,69,0,-1,0,82
15336,76,0,-1,0,82
15337,81,0,-1,0,82
15338,83,0,-1,0,82
15345,82,2,-1,0,82
15319,51,1,-1,0,78
15321,31,0,-1,0,98
15322,58,2,-1,0,86
15331,96,6,-1,0,94
15347,34,0,-1,0,94
15358,97,17,-1,0,94
15336,32,0,-1,0,78
15341,34,0,-1,0,78
15347,82,0,-1,0,70
15349,88,0,-1,0,70
15387,15,0,-1,0,70
15368,15,1,-1,0,90
15352,98,0,-1,0,78
15360,63,0,-1,0,147
15363,64,0,-1,0,86
15364,100,27,-1,0,98
15372,59,0,-1,0,90
15389,95,0,-1,0,165
15374,102,0,-1,0,78
15380,103,0,-1,0,78
15377,103,0,-1,0,86
15378,31,0,-1,0,86
15384,103,0,-1,0,86
15387,102,0,-1,0,78
15390,88,0,-1,0,78
15388,102,0,-1,0,86
15391,82,0,-1,0,86
15384,99,0,-1,0,90
15387,92,0,-1,0,70
15395,59,0,-1,0,98
15397,96,2,-1,0,82
15407,100,27,-1,0,98
15413,102,0,-1,0,90
15416,101,0,-1,0,94
15417,63,0,-1,0,165
15430,82,0,-1,0,90
15446,103,0,-1,0,90
15427,18,0,-1,0,78
15429,98,0,-1,0,74
15432,96,2,-1,0,82
15435,82,0,-1,0,82
15437,101,0,-1,0,82
15441,14,0,-1,0,82
15447,82,0,-1,0,82
15435,102,0,-1,0,98
15444,96,6,-1,0,98
15460,34,0,-1,0,98
15470,97,17,-1,0,98
15459,59,0,-1,0,74
15460,94,2,-1,0,111
15465,92,0,-1,0,90
15471,5,0,-1,0,74
15472,5,0,-1,0,94
15476,15,0,-1,0,86
15476,34,0,-1,0,94
15482,82,0,-1,0,94
15481,59,0,-1,0,90
15488,100,13,-1,0,90
15494,32,0,-1,0,86
15508,34,0,-1,0,78
15503,96,3,-1,0,90
15507,96,3,-1,0,90
15515,14,0,-1,0,74
15525,101,0,-1,0,74
15511,99,0,-1,0,98
15512,108,27,-1,0,70
15526,96,3,-1,0,98
15534,14,0,-1,0,98
15549,48,7,-1,0,70
15543,100,26,-1,0,78
15550,32,0,-1,0,82
15551,98,0,-1,0,74
15558,32,0,-1,0,82
15564,92,0,-1,0,70
15571,60,0,-1,0,98
15574,83,1,-1,0,90
15571,94,1,-1,0,112
15572,59,0,-1,0,147
15583,95,2,-1,0,86
15585,98,0,-1,0,78
15586,92,0,-1,0,86
15595,90,0,-1,0,98
15592,101,1,-1,0,70
15597,88,0,-1,0,74
15601,101,1,-1,0,70
15616,31,1,-1,0,70
15635,83,1,-1,0,70
15613,101,0,-1,0,78
15622,103,0,-1,0,86
15630,82,0,-1,0,78
15640,96,6,-1,0,78
15630,103,0,-1,0,86
15640,90,0,-1,0,86
15626,54,2,-1,0,82
15637,59,0,-1,0,138
15641,92,0,-1,0,82
15650,32,0,-1,0,74
15658,34,0,-1,0,74
15656,18,0,-1,0,70
15665,59,0,-1,0,120
15666,55,2,-1,0,98
15667,100,13,-1,0,86
15673,47,2,-1,0,102
15694,47,4,-1,0,94
15686,14,0,-1,0,82
15703,14,0,-1,0,82
15680,58,0,-1,0,70
15684,59,0,-1,0,103
15685,94,1,-1,0,129
15693,60,0,-1,0,130
15689,32,0,-1,0,90
15690,100,13,-1,0,86
15705,34,1,-1,0,90
15702,94,0,-1,0,103
15701,98,0,-1,0,94
15706,96,3,-1,0,86
15707,96,3,-1,0,78
15714,14,0,-1,0,86
15722,107,6,-1,0,98
15724,108,14,-1,0,70
15732,96,6,-1,0,94
15738,59,0,-1,0,165
15751,82,0,-1,0,94
15747,48,4,-1,0,70
15774,82,0,-1,0,94
15740,108,27,-1,0,90
15746,59,0,-1,0,138
15753,94,1,-1,0,139
15751,58,1,-1,0,86
15755,29,0,-1,0,74
15764,96,3,-1,0,78
15764,98,0,-1,0,98
15768,96,3,-1,0,78
15776,104,37,-1,0,78
15770,102,1,-1,0,70
15776,89,1,-1,0,86
15781,34,1,-1,0,74
15785,83,2,-1,0,70
15786,92,0,-1,0,82
15792,98,0,-1,0,90
15805,60,0,-1,0,82
15818,47,0,-1,0,94
15816,108,27,-1,0,98
15822,60,0,-1,0,112
15823,34,0,-1,0,82
15829,82,0,-1,0,82
15825,38,8,-1,0,94
15832,102,1,-1,0,90
15845,32,0,-1,0,90
15864,82,0,-1,0,90
15840,96,3,-1,0,94
15844,101,1,-1,0,98
15849,47,1,-1,0,86
15860,46,6,-1,0,102
15856,102,1,-1,0,98
15870,32,0,-1,0,98
15879,102,1,-1,0,98
15889,88,0,-1,0,98
15866,94,1,-1,0,147
15864,59,0,-1,0,156
15871,94,1,-1,0,157
15881,55,0,-1,0,94
15879,108,27,-1,0,74
15892,107,6,-1,0,86
15903,51,3,-1,0,90
15901,55,0,-1,0,165
15900,31,1,-1,0,86
15908,102,1,-1,0,74
15910,59,0,-1,0,120
15912,102,1,-1,0,94
15926,109,35,-1,0,94
15922,59,0,-1,0,165
15927,14,0,-1,0,74
15939,101,1,-1,0,74
15951,104,18,-1,0,74
15931,47,0,-1,0,98
15930,60,0,-1,0,121
15931,102,3,-1,0,70
15936,59,0,-1,0,129
15942,92,0,-1,0,78
15944,98,0,-1,0,86
15949,96,3,-1,0,98
15954,59,0,-1,0,130
15959,97,17,-1,0,98
15965,54,5,-1,0,90
15969,93,13,-1,0,74
15978,55,0,-1,0,86
15976,108,14,-1,0,98
15992,47,0,-1,0,74
16015,48,7,-1,0,94
16003,47,2,-1,0,98
15997,94,0,-1,0,138
15996,102,1,-1,0,90
15998,108,27,-1,0,82
16012,82,0,-1,0,90
16009,32,0,-1,0,74
16016,59,0,-1,0,138
16020,93,29,-1,0,70
16025,102,1,-1,0,86
16047,56,2,-1,0,82
16036,83,2,-1,0,98
16046,82,0,-1,0,78
16067,103,0,-1,0,78
16036,102,1,-1,0,86
16049,107,6,-1,0,86
16070,82,0,-1,0,86
16037,92,0,-1,0,74
16087,51,6,-1,0,70
16056,55,0,-1,0,138
16064,101,2,-1,0,94
16076,92,0,-1,0,98
16092,14,0,-1,0,94
16102,47,2,-1,0,90
16087,101,0,-1,0,74
16099,109,35,-1,0,74
16100,90,0,-1,0,82
16113,96,7,-1,0,82
16123,88,0,-1,0,82
16102,94,0,-1,0,103
16106,60,0,-1,0,102
16108,59,0,-1,0,102
16111,94,0,-1,0,103
16114,60,0,-1,0,102
16113,56,0,-1,0,78
16122,45,2,-1,0,98
16147,50,4,-1,0,98
16117,59,0,-1,0,147
16116,59,0,-1,0,157
16120,60,0,-1,0,157
16127,92,0,-1,0,90
16131,32,0,-1,0,86
16136,60,0,-1,0,147
16138,94,0,-1,0,148
16137,94,0,-1,0,157
16142,18,0,-1,0,82
16161,109,17,-1,0,70
16155,92,0,-1,0,94
16156,99,0,-1,0,78
16169,46,6,-1,0,138
16166,59,0,-1,0,165
16170,94,0,-1,0,166
16170,54,4,-1,0,78
16173,54,4,-1,0,86
16179,92,0,-1,0,70
16182,46,11,-1,0,94
16228,49,2,-1,0,94
16186,99,0,-1,0,78
16193,97,17,-1,0,82
16207,14,0,-1,0,98
16211,47,2,-1,0,102
16204,102,1,-1,0,86
16214,89,3,-1,0,78
16210,102,1,-1,0,86
16224,109,35,-1,0,86
16232,48,4,-1,0,82
16234,60,0,-1,0,111
16237,59,0,-1,0,111
16239,94,0,-1,0,112
16243,60,0,-1,0,111
16245,59,0,-1,0,111
16240,98,0,-1,0,82
16247,93,27,-1,0,90
16267,88,0,-1,0,74
16270,14,0,-1,0,70
16259,99,0,-1,0,86
16269,82,0,-1,0,82
16275,34,2,-1,0,94
16310,47,2,-1,0,90
16291,82,0,-1,0,94
16306,45,2,-1,0,147
16294,46,6,-1,0,156
16318,44,4,-1,0,98
16348,50,2,-1,0,98
16314,92,0,-1,0,94
16343,51,3,-1,0,70
16327,60,0,-1,0,121
16329,59,0,-1,0,121
16333,94,0,-1,0,120
16336,60,0,-1,0,121
16338,59,0,-1,0,121
16346,47,2,-1,0,111
16358,105,0,-1,0,74
16351,44,2,-1,0,82
16380,50,4,-1,0,82
16351,59,0,-1,0,102
16353,94,0,-1,0,103
16351,94,0,-1,0,129
16352,59,0,-1,0,129
16354,60,0,-1,0,130
16355,94,0,-1,0,130
16358,94,0,-1,0,102
16358,59,0,-1,0,130
16362,94,0,-1,0,129
16364,60,0,-1,0,130
16387,45,2,-1,0,138
16360,99,0,-1,0,94
16376,103,0,-1,0,86
16381,34,2,-1,0,90
16389,14,0,-1,0,78
16390,88,0,-1,0,86
16380,59,0,-1,0,103
16382,94,0,-1,0,102
16384,60,0,-1,0,103
16385,59,0,-1,0,103
16387,94,0,-1,0,102
16400,90,5,-1,0,70
16391,101,1,-1,0,94
16398,111,7,-1,0,98
16406,110,16,-1,0,90
16412,60,0,-1,0,138
16415,59,0,-1,0,138
16417,94,0,-1,0,139
16421,60,0,-1,0,138
16412,101,2,-1,0,82
16438,47,1,-1,0,90
16432,96,7,-1,0,82
16437,18,0,-1,0,94
16455,46,3,-1,0,129
16464,44,2,-1,0,94
16482,50,1,-1,0,94
16456,111,7,-1,0,74
16464,99,0,-1,0,70
16478,110,16,-1,0,98
16525,47,2,-1,0,78
16516,47,4,-1,0,156
16497,14,0,-1,0,90
16485,59,0,-1,0,111
