1558851477.0793638,loop0,16,0
1558851477.0793638,loop1,0,0
1558851477.0793638,loop2,0,0
1558851477.0793638,loop3,0,0
1558851477.0793638,loop4,0,0
1558851477.0793638,loop5,0,0
1558851477.0793638,loop6,0,0
1558851477.0793638,loop7,0,0
1558851477.0793638,vda,34104503,523638424
1558851477.0793638,vda1,34100311,523638424
1558851477.0793638,vdb,4207738,62072384
1558851477.1773155,loop0,16,0
1558851477.1773155,loop1,0,0
1558851477.1773155,loop2,0,0
1558851477.1773155,loop3,0,0
1558851477.1773155,loop4,0,0
1558851477.1773155,loop5,0,0
1558851477.1773155,loop6,0,0
1558851477.1773155,loop7,0,0
1558851477.1773155,vda,34104647,523638424
1558851477.1773155,vda1,34100455,523638424
1558851477.1773155,vdb,4207738,62072384
1558851477.2766564,loop0,16,0
1558851477.2766564,loop1,0,0
1558851477.2766564,loop2,0,0
1558851477.2766564,loop3,0,0
1558851477.2766564,loop4,0,0
1558851477.2766564,loop5,0,0
1558851477.2766564,loop6,0,0
1558851477.2766564,loop7,0,0
1558851477.2766564,vda,34104647,523638424
1558851477.2766564,vda1,34100455,523638424
1558851477.2766564,vdb,4207738,62072384
1558851477.3766074,loop0,16,0
1558851477.3766074,loop1,0,0
1558851477.3766074,loop2,0,0
1558851477.3766074,loop3,0,0
1558851477.3766074,loop4,0,0
1558851477.3766074,loop5,0,0
1558851477.3766074,loop6,0,0
1558851477.3766074,loop7,0,0
1558851477.3766074,vda,34104647,523638424
1558851477.3766074,vda1,34100455,523638424
1558851477.3766074,vdb,4207738,62072384
1558851477.4765503,loop0,16,0
1558851477.4765503,loop1,0,0
1558851477.4765503,loop2,0,0
1558851477.4765503,loop3,0,0
1558851477.4765503,loop4,0,0
1558851477.4765503,loop5,0,0
1558851477.4765503,loop6,0,0
1558851477.4765503,loop7,0,0
1558851477.4765503,vda,34104647,523638424
1558851477.4765503,vda1,34100455,523638424
1558851477.4765503,vdb,4207738,62072384
1558851477.576948,loop0,16,0
1558851477.576948,loop1,0,0
1558851477.576948,loop2,0,0
1558851477.576948,loop3,0,0
1558851477.576948,loop4,0,0
1558851477.576948,loop5,0,0
1558851477.576948,loop6,0,0
1558851477.576948,loop7,0,0
1558851477.576948,vda,34104647,523638424
1558851477.576948,vda1,34100455,523638424
1558851477.576948,vdb,4207738,62072384
1558851477.6766531,loop0,16,0
1558851477.6766531,loop1,0,0
1558851477.6766531,loop2,0,0
1558851477.6766531,loop3,0,0
1558851477.6766531,loop4,0,0
1558851477.6766531,loop5,0,0
1558851477.6766531,loop6,0,0
1558851477.6766531,loop7,0,0
1558851477.6766531,vda,34104647,523638472
1558851477.6766531,vda1,34100455,523638472
1558851477.6766531,vdb,4207738,62072384
1558851477.7764935,loop0,16,0
1558851477.7764935,loop1,0,0
1558851477.7764935,loop2,0,0
1558851477.7764935,loop3,0,0
1558851477.7764935,loop4,0,0
1558851477.7764935,loop5,0,0
1558851477.7764935,loop6,0,0
