timestamp,event,duration,deviceId,copyKind,payload,bandwidth,pkt_src,pkt_dst,pid,tid,name,category
1548903849.302356,-1,0.020000,0.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core0 (usr|sys|idl|iow|irq): |  8|  8| 83|  0|  0|,0
1548903849.302356,-1,0.000000,1.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core1 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.302356,-1,0.010000,2.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core2 (usr|sys|idl|iow|irq): |  0| 10| 90|  0|  0|,0
1548903849.302356,-1,0.010000,3.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core3 (usr|sys|idl|iow|irq): |  9|  0| 90|  0|  0|,0
1548903849.302356,-1,0.010000,4.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core4 (usr|sys|idl|iow|irq): | 11|  0| 88|  0|  0|,0
1548903849.302356,-1,0.080000,5.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core5 (usr|sys|idl|iow|irq): | 10| 70| 20|  0|  0|,0
1548903849.302356,-1,0.010000,6.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core6 (usr|sys|idl|iow|irq): | 10|  0| 90|  0|  0|,0
1548903849.302356,-1,0.010000,7.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core7 (usr|sys|idl|iow|irq): |  0| 10| 90|  0|  0|,0
1548903849.402426,-1,0.000000,0.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core0 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.402426,-1,0.000000,1.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core1 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.402426,-1,0.000000,2.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core2 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.402426,-1,0.000000,3.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core3 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.402426,-1,0.000000,4.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core4 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.402426,-1,0.060000,5.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core5 (usr|sys|idl|iow|irq): | 10| 50| 40|  0|  0|,0
1548903849.402426,-1,0.000000,6.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core6 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.402426,-1,0.050000,7.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core7 (usr|sys|idl|iow|irq): |  9| 36| 54|  0|  0|,0
1548903849.502362,-1,0.000000,0.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core0 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.000000,1.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core1 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.000000,2.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core2 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.000000,3.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core3 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.000000,4.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core4 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.000000,5.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core5 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.000000,6.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core6 (usr|sys|idl|iow|irq): |  0|  0|100|  0|  0|,0
1548903849.502362,-1,0.090000,7.000000,-1,-1,-1,-1,-1,-1,-1,mpstat_core7 (usr|sys|idl|iow|irq): | 11| 88|  0|  0|  0|,0
